name,hex,link
Acero,#8b8589,https://es.wikipedia.org/wiki/Gris#Muestras_grises
Agua,#66ada4,https://es.wikipedia.org/wiki/Azul_verde#Coloraciones_azul_verdes
Aguacate o Palta,#568203,https://es.wikipedia.org/wiki/Verde_amarillo#Otros_ejemplos_verde-amarillos
Aguamarina,#9fd5d1,https://es.wikipedia.org/wiki/Aguamarina_(color)
Albaricoque,#fab57f,https://es.wikipedia.org/wiki/Mel%C3%B3n_(color)#Ejemplos_y_coloraciones_similares
Almagre,#d4442f,https://es.wikipedia.org/wiki/Almagre
Almendra,#c19a6b,https://es.wikipedia.org/wiki/Marr%C3%B3n#Otros_ejemplos_y_tipos_de_marrón
Aluminio,#b9b8b5,https://es.wikipedia.org/wiki/Gris#Muestras_grises
Amaranto,#e52b50,https://es.wikipedia.org/wiki/Amaranto_(color)
Amarillo,#ffe900,https://es.wikipedia.org/wiki/Amarillo
Amarillo Hansa,#ffcd00,https://es.wikipedia.org/wiki/Amarillo_Hansa
Amarillo Nápoles,#eccd6a,https://es.wikipedia.org/wiki/Amarillo_N%C3%A1poles
Amarillo azufre,#edff21,https://es.wikipedia.org/wiki/Amarillo#Ejemplos_de_amarillos_y_colores_próximos
Amarillo cadmio,#fff600,https://es.wikipedia.org/wiki/Amarillo_cadmio
Amarillo chino,#fada5e,https://es.wikipedia.org/wiki/Amarillo#Ejemplos_de_amarillos_y_colores_próximos
Amarillo de cobalto,#ffbf08,https://es.wikipedia.org/wiki/Amarillo_de_cobalto
Amarillo de cromo,#ffcc0f,https://es.wikipedia.org/wiki/Amarillo_de_cromo
Amarillo fluorescente,#ccff00,https://es.wikipedia.org/wiki/Lima_(color)#Limas_o_verde-amarillos_espectrales
Amarillo indio,#f39430,https://es.wikipedia.org/wiki/Amarillo_indio
Amarillo monoazo,#ffeb00,https://es.wikipedia.org/wiki/Amarillo_monoazo
Amarillo naranja,#fbba00,https://es.wikipedia.org/wiki/Amarillo_naranja
Amarillo patito,#fad201,https://es.wikipedia.org/wiki/Amarillo_tr%C3%A1fico
Amarillo selectivo,#ffba00,https://es.wikipedia.org/wiki/Amarillo_selectivo
Amarillo tráfico,#fbd302,https://es.wikipedia.org/wiki/Amarillo_tr%C3%A1fico
Amarillo verdoso,#ded700,https://es.wikipedia.org/wiki/Verde_amarillo#Comparación_con_colores_próximos
Amatista,#9966cc,https://es.wikipedia.org/wiki/Amatista_(color)
Anaranjado,#ef7f1a,https://es.wikipedia.org/wiki/Anaranjado
Ante,#bf8f4e,https://es.wikipedia.org/wiki/Ante_(color)
Antracita,#383e42,https://es.wikipedia.org/wiki/Gris#Muestras_grises
Arena,#ece2c6,https://es.wikipedia.org/wiki/Arena_(color)
Asfalto,#555555,https://es.wikipedia.org/wiki/Gris#Muestras_grises
Aureolina,#d7b615,https://es.wikipedia.org/wiki/Aureolina
Avellana,#b48969,https://es.wikipedia.org/wiki/Marron_(color)#Otros_ejemplos_y_tipos_de_marrón
Azabache,#343434,https://es.wikipedia.org/wiki/Negro_(color)#Ejemplos_de_coloraciones_negras
Azafrán,#f4c430,https://es.wikipedia.org/wiki/Amarillo_naranja#Coloraciones_amarillo-naranjas
Azarcón,#ff4000,https://es.wikipedia.org/wiki/Azarc%C3%B3n
Azul,#0070b8,https://es.wikipedia.org/wiki/Azul
Azul Alicia,#91a3b0,https://es.wikipedia.org/wiki/Azul_Alicia
Azul Columbia,#78bbe4,https://es.wikipedia.org/wiki/Azul_Columbia
Azul Eton,#96c8a2,https://es.wikipedia.org/wiki/Azul_Eton
Azul Klein,#002fa7,https://es.wikipedia.org/wiki/Azul_Klein
Azul Majorelle,#5564eb,https://es.wikipedia.org/wiki/Azul_Majorelle
Azul Tiffany,#81d8d0,https://es.wikipedia.org/wiki/Azul_Tiffany
Azul acero,#4682b4,https://es.wikipedia.org/wiki/Azul_acero
Azul aciano,#8f97cb,https://es.wikipedia.org/wiki/Azul_aciano
Azul bebé o azul celeste,#89cff0,https://es.wikipedia.org/wiki/Celeste_(color)#Variedades_de_celeste
Azul cerúleo,#0067a5,https://es.wikipedia.org/wiki/Cer%C3%BAleo#Variedad
Azul cian,#00a0e3,https://es.wikipedia.org/wiki/Cian_(color)#Cian_sustractivo_(color_primario)
Azul cobalto,#3f448c,https://es.wikipedia.org/wiki/Azul_cobalto
Azul de Prusia,#033e72,https://es.wikipedia.org/wiki/Azul_de_Prusia
Azul egipcio,#1034a6,https://es.wikipedia.org/wiki/Azul#Tipos_de_azules
Azul eléctrico,#1630be,https://es.wikipedia.org/wiki/Azul#Tipos_de_azules
Azul ftalo,#000f89,https://es.wikipedia.org/wiki/Ftalocianina
Azul glauco,#007e8b,https://es.wikipedia.org/wiki/Turquesa_(color)#Turquesa_pictórico
Azul horizonte,#7ca2b8,https://es.wikipedia.org/wiki/Azul_horizonte
Azul lavanda,#8c92ac,https://es.wikipedia.org/wiki/B%C3%ADgaro_(color)#Coloraciones_similares
Azul lino o Azulino,#6c79b8,https://es.wikipedia.org/wiki/B%C3%ADgaro_(color)#Coloraciones_similares
Azul marino,#00304e,https://es.wikipedia.org/wiki/Azul_marino
Azul maya,#73c2fb,https://es.wikipedia.org/wiki/Azul_maya
Azul medianoche,#2a2a46,https://es.wikipedia.org/wiki/Azul_marino#Variedad_de_azules_oscuros
Azul monastral,#01108a,https://es.wikipedia.org/wiki/Ftalocianina
Azul persa,#1c39bb,https://es.wikipedia.org/wiki/Azul#Tipos_de_azules
Azul púrpura,#4c2882,https://es.wikipedia.org/wiki/Azul_p%C3%BArpura
Azul real,#00416a,https://es.wikipedia.org/wiki/Azul#Tipos_de_azules
Azul turquesa,#55b4b0,https://es.wikipedia.org/wiki/Turquesa_(color)#Ejemplos_de_coloraciones_turquesas
Azul ultramar,#4273b8,https://es.wikipedia.org/wiki/Azul_ultramar
Azul verde,#009b94,https://es.wikipedia.org/wiki/Azul_verde
Azul violeta,#8a2be2,https://es.wikipedia.org/wiki/Violeta_(color)#Colores_web_violetas_y_violáceos
Azur,#007fff,https://es.wikipedia.org/wiki/Azur#El_color_azur_en_la_actualidad
Añil,#1c4c96,https://es.wikipedia.org/wiki/A%C3%B1il
Banana,#fbec5d,https://es.wikipedia.org/wiki/Ma%C3%ADz_(color)
Barbecho,#c29b6c,https://es.wikipedia.org/wiki/Barbecho_(color)
Begonia,#e66761,https://es.wikipedia.org/wiki/Coral_(color)#Otras_muestras_coralinas
Beige o beis,#e8c39e,https://es.wikipedia.org/wiki/Beige
Berenjena,#291e29,https://es.wikipedia.org/wiki/Negro_(color)#Otros_ejemplos_negruzcos
Bermejo,#b3342c,https://es.wikipedia.org/wiki/Bermejo_(color)
Bermellón,#e62e00,https://es.wikipedia.org/wiki/Bermell%C3%B3n
Bistre,#877d60,https://es.wikipedia.org/wiki/Bistre
Bistre marrón,#967117,https://es.wikipedia.org/wiki/Bistre#El_bistre_como_color
Blanco,#ffffff,https://es.wikipedia.org/wiki/Blanco
Blanco de zinc/cinc,#fafbfd,https://es.wikipedia.org/wiki/Blanco_de_cinc
Blanco humo,#b4bcc0,https://es.wikipedia.org/wiki/Gris#Muestras_grises
Blanco navajo,#ebe1c9,https://es.wikipedia.org/wiki/Blanco_navajo
Borgoña,#900020,https://es.wikipedia.org/wiki/Borgo%C3%B1a_(color)
Borravino,#56070c,https://es.wikipedia.org/wiki/Borravino
Bronce,#cd7f32,https://es.wikipedia.org/wiki/Marr%C3%B3n#Otros_ejemplos_y_tipos_de_marrón
Bronceado,#d2b48c,https://es.wikipedia.org/wiki/Bronceado_(color)
Burdeos o bordó,#96305a,https://es.wikipedia.org/wiki/Burdeos_(color)
Bígaro,#ccccff,https://es.wikipedia.org/wiki/B%C3%ADgaro_(color)
Café,#591f0b,https://es.wikipedia.org/wiki/Marr%C3%B3n#Café
Café con leche cósmico,#fff8e7,https://es.wikipedia.org/wiki/Caf%C3%A9_con_leche_c%C3%B3smico
Calabaza,#eeb283,https://es.wikipedia.org/wiki/Calabaza_(color)
Calipso,#31aac1,https://es.wikipedia.org/wiki/Celeste_(color)#Variedades_de_celeste
Camello,#c39c6d,https://es.wikipedia.org/wiki/Camello_(color)
Canela,#bd8a3e,https://es.wikipedia.org/wiki/Marr%C3%B3n#Canela_o_canelo
Caoba,#c04000,https://es.wikipedia.org/wiki/Caoba_(color)
Caqui,#c3b091,https://es.wikipedia.org/wiki/Caqui_(color)
Caramelo,#ae6938,https://es.wikipedia.org/wiki/Color_Caramelo_(colorante)
Carbón,#2b2a29,https://es.wikipedia.org/wiki/Carb%C3%B3n_(color)
Cardenal,#c41e3a,https://es.wikipedia.org/wiki/Cardenal_(color)
Cardenillo,#6dc1ae,https://es.wikipedia.org/wiki/Cardenillo
Cardo,#d8bfd8,https://es.wikipedia.org/wiki/Cardo_(color)
Carmesí,#ae0e36,https://es.wikipedia.org/wiki/Carmes%C3%AD
Carmín,#d31c4f,https://es.wikipedia.org/wiki/Carm%C3%ADn
Carmín alizarina,#860919,https://es.wikipedia.org/wiki/Carm%C3%ADn_de_alizarina
Carne o carnación,#fcd0b4,https://es.wikipedia.org/wiki/Carne_(color)
Cartujo,#c4c574,https://es.wikipedia.org/wiki/Chartreuse_(color)#Variedad
Castaña o castaño,#954535,https://es.wikipedia.org/wiki/Marr%C3%B3n#Castaño_y_castaña
Celeste,#0cb7f2,https://es.wikipedia.org/wiki/Celeste_(color)
Ceniza,#cdcdcd,https://es.wikipedia.org/wiki/Gris_ceniza
Cerceta,#008080,https://es.wikipedia.org/wiki/Azul_verde#Coloraciones_azul_verdes
Cereza,#de3163,https://es.wikipedia.org/wiki/Rojo_p%C3%BArpura#Ejemplos_de_rojo_púrpura
Cerúleo,#02a4d3,https://es.wikipedia.org/wiki/Cer%C3%BAleo
Cetrino,#e4d00a,https://es.wikipedia.org/wiki/Amarillo#Ejemplos_de_amarillos_y_colores_próximos
Champán,#f3e5ab,https://es.wikipedia.org/wiki/Ma%C3%ADz_(color)#Colores_similares
Chartreuse,#beb72d,https://es.wikipedia.org/wiki/Chartreuse_(color)
Chocolate,#7b3f00,https://es.wikipedia.org/wiki/Marr%C3%B3n#Chocolate
Cian,#00ffff,https://es.wikipedia.org/wiki/Cian
Cielo,#00ccff,https://es.wikipedia.org/w/index.php?title=Cielo_(color)&action=edit&redlink=1
Ciruela,#78184a,https://es.wikipedia.org/wiki/P%C3%BArpura#Muestras
Cobre o cobrizo,#cb6d51,https://es.wikipedia.org/wiki/Cobre_(color)
Concha,#f4c2c2,https://es.wikipedia.org/wiki/Concha_(color)
Conchevino,#673147,https://es.wikipedia.org/wiki/Vino_(color)#Ejemplos_de_colores_vino_o_avinados
Coral,#e4717a,https://es.wikipedia.org/wiki/Coral_(color)
Cordobán,#924549,https://es.wikipedia.org/wiki/Cordob%C3%A1n_(color)
Corinto,#bb5d5e,https://es.wikipedia.org/wiki/Vino_(color)#Ejemplos_de_colores_vino_o_avinados
Crema,#fffdd0,https://es.wikipedia.org/wiki/Crema_(color)
Cuarzo,#d9d9f3,https://es.wikipedia.org/wiki/Blanco#Variedades_del_blanco
Damasco,#fbb680,https://es.wikipedia.org/wiki/Mel%C3%B3n_(color)#Ejemplos_y_coloraciones_similares
Dark,#ffe5b4,https://es.wikipedia.org/w/index.php?title=Dark_(color)&action=edit&redlink=1
Dorado,#d4af37,https://es.wikipedia.org/wiki/Oro_(color)
Durazno,#fee6b5,https://es.wikipedia.org/wiki/Durazno_(color)
Elefante,#9b8f79,https://es.wikipedia.org/wiki/Gris#Muestras_grises
Encaje antiguo,#fdf5e6,https://es.wikipedia.org/wiki/Encaje_antiguo
Escarlata,#fd2d1c,https://es.wikipedia.org/wiki/Escarlata_(color)
Esmeralda,#009975,https://es.wikipedia.org/wiki/Esmeralda_(color)
Espinaca,#4a5d23,https://es.wikipedia.org/wiki/Verde#Verdes_amarillentos
Fandango,#b53389,https://es.wikipedia.org/wiki/Rojo_p%C3%BArpura#Ejemplos_de_rojo_púrpura
Feldgrau,#59646a,https://es.wikipedia.org/wiki/Feldgrau
Frambuesa,#e62c58,https://es.wikipedia.org/wiki/Frambuesa_(color)
Fucsia,#ff0080,https://es.wikipedia.org/wiki/Fucsia
Gamuza,#e8bd85,https://es.wikipedia.org/wiki/Gamuza_(color)
Geranio,#e52d33,https://es.wikipedia.org/wiki/Rojo#Ejemplos_de_coloraciones_rojas
Glauco,#008094,https://es.wikipedia.org/wiki/Azul_verde#Coloraciones_azul_verdes
Grafito,#1c1c1c,https://es.wikipedia.org/wiki/Negro_(color)#Ejemplos_de_coloraciones_negras
Grana,#c72744,https://es.wikipedia.org/wiki/Carm%C3%ADn#Como_color
Granate,#800000,https://es.wikipedia.org/wiki/Granate_(color)
Gris,#808080,https://es.wikipedia.org/wiki/Gris
Gris acorazado,#848482,https://es.wikipedia.org/wiki/Gris_acorazado
Gris antracita,#393f43,https://es.wikipedia.org/wiki/Gris#Muestras_grises
Gris cadete,#81878b,https://es.wikipedia.org/wiki/Gris_cadete
Gris ceniza,#cecece,https://es.wikipedia.org/wiki/Gris_ceniza
Gris de Davy,#565656,https://es.wikipedia.org/wiki/Gris_de_Davy
Gris de Payne,#536878,https://es.wikipedia.org/wiki/Gris_de_Payne
Gris frío,#496063,https://es.wikipedia.org/wiki/Gris_fr%C3%ADo
Gualda o gualdo,#fabd00,https://es.wikipedia.org/wiki/Oro_(color)#Coloraciones_doradas
Guinda,#952f57,https://es.wikipedia.org/wiki/Guinda_(color)
Gules,#f00909,https://es.wikipedia.org/wiki/Esmalte_(her%C3%A1ldica)#Códigos_de_color_RGB_y_CYMK
Guta o gutagamba,#e49b0f,https://es.wikipedia.org/wiki/Gutagamba
Habano,#844e34,https://github.com/meodai/noms-de-couleur/#authors-@meodai
Herrumbre,#a2522b,https://es.wikipedia.org/wiki/Herrumbre_(color)
Hielo,#a2c8d4,https://github.com/meodai/noms-de-couleur/#authors-@meodai
Hueso,#e3dac9,https://es.wikipedia.org/wiki/Blanco#Variedades_del_blanco
Humo,#92a4b1,https://es.wikipedia.org/wiki/Gris#Muestras_grises
Hígado,#891e35,https://es.wikipedia.org/wiki/H%C3%ADgado_(color)
Jade,#00a86b,https://es.wikipedia.org/wiki/Verde#Verdes_azulados
Kalua,#b78e5b,https://es.wikipedia.org/wiki/Marron_(color)#Otros_ejemplos_y_tipos_de_marrón
Lacre,#a73330,https://es.wikipedia.org/wiki/Rojo#Ejemplos_de_coloraciones_rojas
Lapislázuli,#4374b9,https://es.wikipedia.org/wiki/Lapisl%C3%A1zuli
Latón,#ab9144,https://es.wikipedia.org/wiki/Marr%C3%B3n#Otros_ejemplos_y_tipos_de_marrón
Lava,#483c32,https://es.wikipedia.org/wiki/Lava_(color)#Colores_«lava»_negruzcos:_lava_solidificada
Lava fundida,#b82928,https://es.wikipedia.org/wiki/Lava_(color)
Lavanda,#b57edc,https://es.wikipedia.org/wiki/Lavanda_(color)
León o leonado,#c49d6e,https://es.wikipedia.org/wiki/Le%C3%B3n_(color)
Lila,#c8a2c8,https://es.wikipedia.org/wiki/Lila_(color)
Lima,#bfff00,https://es.wikipedia.org/wiki/Lima_(color)
Lima-limón,#e3ff00,https://es.wikipedia.org/wiki/Lima_(color)#Lima_o_verde-amarillos_espectrales
Limón,#d9e542,https://es.wikipedia.org/wiki/Lim%C3%B3n_(color)
Lino,#d7d0b7,https://es.wikipedia.org/wiki/Lino_(color)
Lirio,#7f69a5,https://es.wikipedia.org/wiki/Lirio_(color)
Llama,#f98f1d,https://es.wikipedia.org/wiki/Llama_(color)
Lombarda,#852c84,https://es.wikipedia.org/wiki/Morado#Coloraciones_similares
Lúcuma,#ffba14,https://es.wikipedia.org/wiki/Amarillo_naranja#Coloraciones_amarillo-naranjas
Magenta,#ff00ff,https://es.wikipedia.org/wiki/Magenta
Malaquita,#0bda51,https://es.wikipedia.org/wiki/Malaquita#Color_malaquita
Malva,#e0b0ff,https://es.wikipedia.org/wiki/Malva_(color)
Mamey,#f06030,https://es.wikipedia.org/wiki/Rojo_naranja#Muestras_rojo_anaranjadas
Mandarina,#ed872d,https://es.wikipedia.org/wiki/Naranja_(color)#Ejemplos_de_colores_anaranjados
Marfil,#f4e6ac,https://es.wikipedia.org/wiki/Crema_(color)#Coloraciones_similares
Marrón,#993300,https://es.wikipedia.org/wiki/Marr%C3%B3n
